record_kind,stable_identity_key,governed_product_key,governed_ledger_id,product_title,product_title_state,woo_product_title,variant_title,pack_quantity,weight,unit,weight_basis,woo_weight_kg,price,compare_at_price,gst_inclusive_state,inventory_policy,quantity_snapshot,quantity_snapshot_state,availability_state,sku,sku_state,imagery_state,copy_state,target_publication_state,source_product_id,source_record_id,export_date,export_date_state,source_file_sha256,shopify_product_id,shopify_live_title,shopify_live_status,shopify_live_inventory_state,shopify_live_variant_count,product_disposition,disposition_fact
variant,MM24-N07-P2850-V3075,MM24-N07,N07,Pecan Eclipse Bite,confirmed — Canva; later description wins,Pecan Nut Eclipse Bite (50g),1 BITE,1,50,g,task-verified Eclipse Bites 50g ladder; Woo Name agrees,,5.99,,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,Carli later description wins over Canva,published,2850,3075,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,CREATE,Governed N07 has no live Shopify product; CREATE. Woo source mapping exists.
variant,MM24-N07-P2850-V3076,MM24-N07,N07,Pecan Eclipse Bite,confirmed — Canva; later description wins,Pecan Nut Eclipse Bite (50g),6 BITES,6,50,g,task-verified Eclipse Bites 50g ladder; Woo Name agrees,,32.99,35.99,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,Carli later description wins over Canva,published,2850,3076,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,CREATE,Governed N07 has no live Shopify product; CREATE. Woo source mapping exists.
variant,MM24-N07-P2850-V3077,MM24-N07,N07,Pecan Eclipse Bite,confirmed — Canva; later description wins,Pecan Nut Eclipse Bite (50g),12 BITES,12,50,g,task-verified Eclipse Bites 50g ladder; Woo Name agrees,,59.99,71.99,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,Carli later description wins over Canva,published,2850,3077,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,CREATE,Governed N07 has no live Shopify product; CREATE. Woo source mapping exists.
variant,MM24-N09-P2857-V3078,MM24-N09,N09,Hazelnut Eclipse Bites,confirmed — Canva,Hazelnut Eclipse Bite (50g),12 BITES,12,50,g,task-verified Eclipse Bites 50g ladder; Woo Name agrees,,59.99,71.99,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed,published,2857,3078,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,CREATE,Governed N09 has no live Shopify product; CREATE. Woo source mapping exists.
variant,MM24-N09-P2857-V3079,MM24-N09,N09,Hazelnut Eclipse Bites,confirmed — Canva,Hazelnut Eclipse Bite (50g),6 BITES,6,50,g,task-verified Eclipse Bites 50g ladder; Woo Name agrees,,32.99,35.99,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed,published,2857,3079,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,CREATE,Governed N09 has no live Shopify product; CREATE. Woo source mapping exists.
variant,MM24-N09-P2857-V3080,MM24-N09,N09,Hazelnut Eclipse Bites,confirmed — Canva,Hazelnut Eclipse Bite (50g),1 BITE,1,50,g,task-verified Eclipse Bites 50g ladder; Woo Name agrees,,5.99,,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed,published,2857,3080,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,CREATE,Governed N09 has no live Shopify product; CREATE. Woo source mapping exists.
variant,MM24-N08-P2877-V3081,MM24-N08,N08,Almond Sea Salt Eclipse Bites,confirmed — Canva,Salted Almond Eclipse Bite (50g),12 BITES,12,50,g,task-verified Eclipse Bites 50g ladder; Woo Name agrees,,59.99,71.99,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed,published,2877,3081,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,CREATE,Governed N08 has no live Shopify product; CREATE. Woo source mapping exists.
variant,MM24-N08-P2877-V3082,MM24-N08,N08,Almond Sea Salt Eclipse Bites,confirmed — Canva,Salted Almond Eclipse Bite (50g),6 BITES,6,50,g,task-verified Eclipse Bites 50g ladder; Woo Name agrees,,32.99,35.99,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed,published,2877,3082,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,CREATE,Governed N08 has no live Shopify product; CREATE. Woo source mapping exists.
variant,MM24-N08-P2877-V3083,MM24-N08,N08,Almond Sea Salt Eclipse Bites,confirmed — Canva,Salted Almond Eclipse Bite (50g),1 BITE,1,50,g,task-verified Eclipse Bites 50g ladder; Woo Name agrees,,5.99,,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed,published,2877,3083,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,CREATE,Governed N08 has no live Shopify product; CREATE. Woo source mapping exists.
variant,MM24-N10-P2883-V3084,MM24-N10,N10,Goji Ripe,confirmed by later email; Carli confirmation still flagged,Goji Ripe Eclipse Bite (50g),12 BITES,12,50,g,task-verified Eclipse Bites 50g ladder; Woo Name agrees,,59.99,71.99,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,Carli later title/description wins over Canva,published,2883,3084,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,CREATE,Governed N10 has no live Shopify product; CREATE. Woo source mapping exists.
variant,MM24-N10-P2883-V3085,MM24-N10,N10,Goji Ripe,confirmed by later email; Carli confirmation still flagged,Goji Ripe Eclipse Bite (50g),6 BITES,6,50,g,task-verified Eclipse Bites 50g ladder; Woo Name agrees,,32.99,35.99,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,Carli later title/description wins over Canva,published,2883,3085,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,CREATE,Governed N10 has no live Shopify product; CREATE. Woo source mapping exists.
variant,MM24-N10-P2883-V3086,MM24-N10,N10,Goji Ripe,confirmed by later email; Carli confirmation still flagged,Goji Ripe Eclipse Bite (50g),1 BITE,1,50,g,task-verified Eclipse Bites 50g ladder; Woo Name agrees,,5.99,,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,Carli later title/description wins over Canva,published,2883,3086,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,CREATE,Governed N10 has no live Shopify product; CREATE. Woo source mapping exists.
variant,MM24-N11-P2889-V3087,MM24-N11,N11,Fudge,confirmed — Canva; Woo title differs,Salted Caramel Fudge (50g),12 FUDGE,12,50,g,task-verified Eclipse Bites 50g ladder; Woo Name agrees,,59.99,71.99,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed; Nate 20 Aug ruling groups Salted Caramel Fudge as the fifth Eclipse Bite,published,2889,3087,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,CREATE,Governed N11 has no live Shopify product; CREATE. Woo source mapping exists.
variant,MM24-N11-P2889-V3088,MM24-N11,N11,Fudge,confirmed — Canva; Woo title differs,Salted Caramel Fudge (50g),6 FUDGE,6,50,g,task-verified Eclipse Bites 50g ladder; Woo Name agrees,,32.99,35.99,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed; Nate 20 Aug ruling groups Salted Caramel Fudge as the fifth Eclipse Bite,published,2889,3088,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,CREATE,Governed N11 has no live Shopify product; CREATE. Woo source mapping exists.
variant,MM24-N11-P2889-V3089,MM24-N11,N11,Fudge,confirmed — Canva; Woo title differs,Salted Caramel Fudge (50g),1 FUDGE,1,50,g,task-verified Eclipse Bites 50g ladder; Woo Name agrees,,5.99,,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed; Nate 20 Aug ruling groups Salted Caramel Fudge as the fifth Eclipse Bite,published,2889,3089,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,CREATE,Governed N11 has no live Shopify product; CREATE. Woo source mapping exists.
variant,WOO-P3104-V3104,,,Lavender & Bougainvillaea Bath Salts (500g),Woo source title; outside governed launch set,Lavender & Bougainvillaea Bath Salts (500g),(simple product; no Woo option),1,500,g,Woo Name-declared net weight; Woo Weight (kg) is blank,,29.95,34.95,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,not assessed — launch-excluded,not assessed — launch-excluded,excluded from launch,3104,3104,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,OUT-OF-SCOPE (launch),Nate 20 Aug ruling: non-food is excluded from the governed set and future import scope for this launch; not archived or deleted.
variant,MM24-N15-P3345-V3345,MM24-N15,N15,Pure Carob Elixir,confirmed by later email,Carob Elixir 150g (A Caffeine Free Alternative),(simple product; no Woo option),1,150,g,Woo Name-declared net weight; Woo Weight (kg) is blank,,23.95,,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,approved; matched re-export required,Carli later description wins,published,3345,3345,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708835180741,Plain Carob Elixir,Draft,0 in stock for 2 variants,2,UPDATE,Live Shopify product 8708835180741 matches governed N15; UPDATE required (0 in stock for 2 variants; Woo mapping present).
variant,MM24-B06-P5133-V5134,MM24-B06,B06,GAP — exact title absent; required qualifier: Almond,GAP — Carli title required,Organic Vegan Almond & Celtic Salt Carob Bar (90g),1 BAR,1,90,g,task-verified Bars 90g ladder; Woo Name agrees,,12.95,,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed; exact title absent,published,5133,5134,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708822499525,Salted Almond Bar,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708822499525 matches governed B06; UPDATE required (0 in stock for 3 variants; Woo mapping present).
variant,MM24-B06-P5133-V5135,MM24-B06,B06,GAP — exact title absent; required qualifier: Almond,GAP — Carli title required,Organic Vegan Almond & Celtic Salt Carob Bar (90g),2 BARS,2,90,g,task-verified Bars 90g ladder; Woo Name agrees,,25.25,25.9,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed; exact title absent,published,5133,5135,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708822499525,Salted Almond Bar,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708822499525 matches governed B06; UPDATE required (0 in stock for 3 variants; Woo mapping present).
variant,MM24-B06-P5133-V5136,MM24-B06,B06,GAP — exact title absent; required qualifier: Almond,GAP — Carli title required,Organic Vegan Almond & Celtic Salt Carob Bar (90g),5 BARS,5,90,g,task-verified Bars 90g ladder; Woo Name agrees,,61.51,64.75,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed; exact title absent,published,5133,5136,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708822499525,Salted Almond Bar,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708822499525 matches governed B06; UPDATE required (0 in stock for 3 variants; Woo mapping present).
variant,MM24-B05-P5145-V5146,MM24-B05,B05,GAP — exact title absent; required qualifier: Cayenne,GAP — Carli title required,Organic Vegan Cayenne Chilli & Celtic Salt Carob Bar (90g),1 BAR,1,90,g,task-verified Bars 90g ladder; Woo Name agrees,,12.95,,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed; exact title absent,published,5145,5146,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708821156037,Cayenne Chilli & Celtic Salt Bar,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708821156037 matches governed B05; UPDATE required (0 in stock for 3 variants; Woo mapping present).
variant,MM24-B05-P5145-V5147,MM24-B05,B05,GAP — exact title absent; required qualifier: Cayenne,GAP — Carli title required,Organic Vegan Cayenne Chilli & Celtic Salt Carob Bar (90g),2 BARS,2,90,g,task-verified Bars 90g ladder; Woo Name agrees,,25.25,25.9,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed; exact title absent,published,5145,5147,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708821156037,Cayenne Chilli & Celtic Salt Bar,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708821156037 matches governed B05; UPDATE required (0 in stock for 3 variants; Woo mapping present).
variant,MM24-B05-P5145-V5148,MM24-B05,B05,GAP — exact title absent; required qualifier: Cayenne,GAP — Carli title required,Organic Vegan Cayenne Chilli & Celtic Salt Carob Bar (90g),5 BARS,5,90,g,task-verified Bars 90g ladder; Woo Name agrees,,61.51,64.75,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed; exact title absent,published,5145,5148,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708821156037,Cayenne Chilli & Celtic Salt Bar,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708821156037 matches governed B05; UPDATE required (0 in stock for 3 variants; Woo mapping present).
variant,WOO-P5172-V5172,,,Organic Vegan Bundle of Carob Bars (6x90g),Woo source title; outside governed launch set,Organic Vegan Bundle of Carob Bars (6x90g),(simple product; no Woo option),6,90,g,Woo Name: 6x90g; per-item weight,,73.82,77.7,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,not assessed — archive candidate,not assessed — archive candidate,archived,5172,5172,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,,,,,,ARCHIVE,Woo parent 5172 is absent from the governed 24-product launch ledger.
variant,MM24-B03-P5436-V5437,MM24-B03,B03,GAP — exact title absent; required qualifier: Hazelnut (not Roasted Hazelnut),GAP — Carli title required; direct qualifier ruling applied,Organic Vegan Hazelnut Carob Bar (90g),1 BAR,1,90,g,task-verified Bars 90g ladder; Woo Name agrees,,12.95,,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed; exact title absent,published,5436,5437,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708825317573,Roasted Dark Hazelnut Bar,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708825317573 matches governed B03; UPDATE required (0 in stock for 3 variants; Woo mapping present).
